ID,ID_HECHO,FECHA,N_VICTIMAS
467,2019-0049,2019-06-08,1
468,2019-0050,2019-06-08,1
469,2019-0051,2019-06-11,1
470,2019-0053,2019-06-14,1
471,2019-0054,2019-06-20,1
472,2019-0055,2019-06-20,1
473,2019-0056,2019-06-29,1
474,2019-0057,2019-07-05,1
475,2019-0058,2019-07-10,1
476,2019-0059,2019-07-13,1
477,2019-0060,2019-07-17,1
478,2019-0061,2019-07-17,1
479,2019-0062,2019-08-01,1
480,2019-0063,2019-08-04,1
481,2019-0064,2019-08-06,1
482,2019-0065,2019-08-08,1
483,2019-0066,2019-08-11,1
484,2019-0067,2019-08-14,1
485,2019-0068,2019-08-14,1
486,2019-0069,2019-08-17,1
487,2019-0070,2019-08-22,1
488,2019-0071,2019-08-27,1
489,2019-0072,2019-08-28,1
490,2019-0073,2019-08-29,1
491,2019-0074,2019-08-29,1
492,2019-0075,2019-08-30,1
493,2019-0076,2019-09-05,1
494,2019-0077,2019-09-08,1
495,2019-0078,2019-09-12,1
496,2019-0079,2019-09-17,1
497,2019-0080,2019-09-17,1
498,2019-0081,2019-09-23,1
499,2019-0082,2019-09-25,1
500,2019-0083,2019-09-26,1
501,2019-0084,2019-09-27,1
502,2019-0085,2019-10-09,1
503,2019-0086,2019-10-15,1
504,2019-0087,2019-10-21,1
505,2019-0088,2019-10-22,1
506,2019-0089,2019-10-23,1
507,2019-0090,2019-10-24,1
508,2019-0091,2019-11-01,1
509,2019-0092,2019-11-03,1
510,2019-0093,2019-11-13,1
511,2019-0094,2019-11-18,1
512,2019-0095,2019-11-20,1
513,2019-0096,2019-11-22,1
514,2019-0097,2019-11-25,1
515,2019-0098,2019-11-25,1
516,2019-0100,2019-12-05,1
517,2019-0101,2019-12-17,1
518,2019-0102,2019-12-17,1
519,2019-0103,2019-12-18,1
520,2019-0104,2019-12-21,1
521,2019-0105,2019-05-05,1
522,2020-0001,2020-01-04,1
523,2020-0002,2020-01-05,1
524,2020-0003,2020-01-11,1
525,2020-0004,2020-01-14,1
526,2020-0005,2020-01-14,1
527,2020-0006,2020-01-20,1
528,2020-0007,2020-01-27,1
529,2020-0008,2020-01-30,1
530,2020-0009,2020-02-04,1
531,2020-0010,2020-02-08,1
532,2020-0011,2020-02-12,1
533,2020-0012,2020-02-18,1
534,2020-0013,2020-02-20,1
535,2020-0014,2020-02-27,1
536,2020-0015,2020-02-28,1
537,2020-0016,2020-02-29,1
538,2020-0017,2020-03-05,1
539,2020-0018,2020-03-09,1
540,2020-0019,2020-03-10,1
541,2020-0020,2020-03-13,1
542,2020-0021,2020-03-14,1
543,2020-0022,2020-04-07,1
544,2020-0023,2020-04-09,1
545,2020-0024,2020-04-24,1
546,2020-0025,2020-05-12,1
547,2020-0026,2020-05-17,1
548,2020-0027,2020-05-18,1
549,2020-0028,2020-05-19,1
550,2020-0029,2020-06-10,1
551,2020-0030,2020-06-16,1
552,2020-0031,2020-06-30,1
553,2020-0032,2020-07-10,1
554,2020-0033,2020-07-19,1
555,2020-0034,2020-08-02,1
556,2020-0035,2020-08-04,1
557,2020-0036,2020-08-07,1
558,2020-0037,2020-08-29,1
559,2020-0038,2020-08-30,2
560,2020-0039,2020-09-01,1
561,2020-0040,2020-09-12,1
562,2020-0041,2020-09-28,1
563,2020-0042,2020-09-29,1
564,2020-0043,2020-09-30,1
565,2020-0044,2020-10-05,1
566,2020-0045,2020-10-19,1
567,2020-0046,2020-10-27,1
568,2020-0047,2020-10-27,1
569,2020-0048,2020-10-29,1
570,2020-0049,2020-10-30,1
571,2020-0050,2020-11-01,1
572,2020-0051,2020-11-05,1
573,2020-0052,2020-11-07,1
574,2020-0053,2020-11-09,1
575,2020-0054,2020-11-19,1
576,2020-0055,2020-11-19,1
577,2020-0056,2020-11-21,1
578,2020-0057,2020-11-23,1
579,2020-0058,2020-11-24,1
580,2020-0059,2020-12-01,1
581,2020-0060,2020-12-03,1
582,2020-0061,2020-12-03,1
583,2020-0062,2020-12-04,1
584,2020-0063,2020-12-05,2
585,2020-0065,2020-12-05,1
586,2020-0066,2020-12-07,1
587,2020-0067,2020-12-11,1
588,2020-0068,2020-12-12,1
589,2020-0069,2020-12-15,1
590,2020-0070,2020-12-17,1
591,2020-0071,2020-12-17,1
592,2020-0072,2020-12-19,1
593,2020-0073,2020-12-20,1
594,2020-0074,2020-12-20,1
595,2020-0075,2020-12-23,1
596,2020-0076,2020-12-24,1
597,2020-0077,2020-12-25,2
598,2020-0078,2020-12-25,1
599,2020-0079,2020-12-27,1
600,2021-0001,2021-01-06,1
601,2021-0002,2021-01-07,1
602,2021-0003,2021-01-10,1
603,2021-0004,2021-01-11,1
604,2021-0005,2021-01-11,1
605,2021-0006,2021-01-12,1
606,2021-0007,2021-01-18,1
607,2021-0008,2021-01-22,1
608,2021-0009,2021-01-23,1
609,2021-0010,2021-01-23,1
610,2021-0011,2021-01-27,1
611,2021-0012,2021-01-29,1
612,2021-0013,2021-01-31,1
613,2021-0014,2021-02-02,1
614,2021-0015,2021-02-06,1
615,2021-0016,2021-02-14,1
616,2021-0017,2021-02-17,1
617,2021-0018,2021-02-20,1
618,2021-0019,2021-02-21,1
619,2021-0020,2021-02-21,1
620,2021-0021,2021-02-26,1
621,2021-0022,2021-02-28,1
622,2021-0023,2021-03-01,1
623,2021-0024,2021-03-03,1
624,2021-0025,2021-03-11,1
625,2021-0026,2021-03-15,1
626,2021-0027,2021-03-16,1
627,2021-0028,2021-03-29,1
628,2021-0029,2021-03-31,1
629,2021-0030,2021-04-03,1
630,2021-0031,2021-04-07,1
631,2021-0032,2021-04-10,1
632,2021-0033,2021-04-14,1
633,2021-0034,2021-04-19,1
634,2021-0035,2021-05-03,1
635,2021-0036,2021-05-09,1
636,2021-0037,2021-05-11,1
637,2021-0038,2021-05-14,1
638,2021-0039,2021-05-15,1
639,2021-0040,2021-05-20,1
640,2021-0041,2021-05-20,1
641,2021-0042,2021-05-21,1
642,2021-0043,2021-05-22,1
