ID,ID_HECHO,FECHA,ROL
496,2019-0060,2019-07-17,PEATON
497,2019-0061,2019-07-17,PEATON
498,2019-0062,2019-08-01,PEATON
499,2019-0063,2019-08-04,PASAJERO_ACOMPANANTE
500,2019-0064,2019-08-06,CONDUCTOR
501,2019-0065,2019-08-08,PEATON
502,2019-0066,2019-08-11,PEATON
503,2019-0067,2019-08-14,CONDUCTOR
504,2019-0068,2019-08-14,CONDUCTOR
505,2019-0069,2019-08-17,CONDUCTOR
506,2019-0070,2019-08-22,CONDUCTOR
507,2019-0071,2019-08-27,PEATON
508,2019-0072,2019-08-28,CONDUCTOR
509,2019-0073,2019-08-29,CONDUCTOR
510,2019-0074,2019-08-29,CONDUCTOR
511,2019-0075,2019-08-30,CONDUCTOR
512,2019-0076,2019-09-05,CONDUCTOR
513,2019-0077,2019-09-08,PEATON
514,2019-0078,2019-09-12,PEATON
515,2019-0079,2019-09-17,CONDUCTOR
516,2019-0080,2019-09-17,PEATON
517,2019-0081,2019-09-23,PEATON
518,2019-0082,2019-09-25,CICLISTA
519,2019-0083,2019-09-26,CONDUCTOR
520,2019-0084,2019-09-27,CICLISTA
521,2019-0085,2019-10-09,CICLISTA
522,2019-0086,2019-10-15,CONDUCTOR
523,2019-0087,2019-10-21,CONDUCTOR
524,2019-0088,2019-10-22,PEATON
525,2019-0089,2019-10-23,PEATON
526,2019-0090,2019-10-24,PEATON
527,2019-0091,2019-11-01,PEATON
528,2019-0092,2019-11-03,PEATON
529,2019-0093,2019-11-13,CICLISTA
530,2019-0094,2019-11-18,PASAJERO_ACOMPANANTE
531,2019-0095,2019-11-20,CONDUCTOR
532,2019-0096,2019-11-22,PEATON
533,2019-0097,2019-11-25,PASAJERO_ACOMPANANTE
534,2019-0098,2019-11-25,PASAJERO_ACOMPANANTE
535,2019-0100,2019-12-05,CONDUCTOR
536,2019-0101,2019-12-17,CONDUCTOR
537,2019-0102,2019-12-17,CONDUCTOR
538,2019-0103,2019-12-18,CONDUCTOR
539,2019-0104,2019-12-21,PASAJERO_ACOMPANANTE
540,2020-0001,2020-01-04,PEATON
541,2020-0002,2020-01-05,CONDUCTOR
542,2020-0003,2020-01-11,PEATON
543,2020-0004,2020-01-14,PEATON
544,2020-0005,2020-01-14,CONDUCTOR
545,2020-0006,2020-01-20,CONDUCTOR
546,2020-0007,2020-01-27,PEATON
547,2020-0008,2020-01-30,CONDUCTOR
548,2020-0009,2020-02-04,PEATON
549,2020-0010,2020-02-08,CONDUCTOR
550,2020-0011,2020-02-12,CONDUCTOR
551,2020-0012,2020-02-18,PEATON
552,2020-0013,2020-02-20,PEATON
553,2020-0014,2020-02-27,CONDUCTOR
554,2020-0015,2020-02-28,CONDUCTOR
555,2020-0016,2020-02-29,PEATON
556,2020-0017,2020-03-05,PEATON
557,2020-0018,2020-03-09,CONDUCTOR
558,2020-0019,2020-03-10,PEATON
559,2020-0020,2020-03-13,PEATON
560,2020-0021,2020-03-14,PEATON
561,2020-0022,2020-04-07,PASAJERO_ACOMPANANTE
562,2020-0023,2020-04-09,CONDUCTOR
563,2020-0024,2020-04-24,CONDUCTOR
564,2020-0025,2020-05-12,PEATON
565,2020-0026,2020-05-17,CONDUCTOR
566,2020-0027,2020-05-18,PEATON
567,2020-0028,2020-05-19,PEATON
568,2020-0029,2020-06-10,PEATON
569,2020-0030,2020-06-16,CONDUCTOR
570,2020-0031,2020-06-30,CONDUCTOR
571,2020-0032,2020-07-10,CONDUCTOR
572,2020-0033,2020-07-19,CONDUCTOR
573,2020-0034,2020-08-02,PEATON
574,2020-0035,2020-08-04,CONDUCTOR
575,2020-0036,2020-08-07,PEATON
576,2020-0037,2020-08-29,PEATON
577,2020-0038,2020-08-30,CONDUCTOR
578,2020-0038,2020-08-30,CONDUCTOR
579,2020-0039,2020-09-01,PEATON
580,2020-0040,2020-09-12,CONDUCTOR
581,2020-0041,2020-09-28,CONDUCTOR
582,2020-0042,2020-09-29,PEATON
583,2020-0043,2020-09-30,PEATON
584,2020-0044,2020-10-05,CONDUCTOR
585,2020-0045,2020-10-19,CONDUCTOR
586,2020-0046,2020-10-27,CONDUCTOR
587,2020-0047,2020-10-27,PEATON
588,2020-0048,2020-10-29,CONDUCTOR
589,2020-0049,2020-10-30,PEATON
590,2020-0050,2020-11-01,PEATON
591,2020-0051,2020-11-05,CONDUCTOR
592,2020-0052,2020-11-07,CICLISTA
593,2020-0053,2020-11-09,PASAJERO_ACOMPANANTE
594,2020-0054,2020-11-19,CICLISTA
595,2020-0055,2020-11-19,PEATON
596,2020-0056,2020-11-21,CONDUCTOR
597,2020-0057,2020-11-23,PEATON
598,2020-0058,2020-11-24,PEATON
599,2020-0059,2020-12-01,PEATON
600,2020-0060,2020-12-03,PEATON
601,2020-0061,2020-12-03,CONDUCTOR
602,2020-0062,2020-12-04,CICLISTA
603,2020-0063,2020-12-05,PEATON
604,2020-0063,2020-12-05,PASAJERO_ACOMPANANTE
605,2020-0065,2020-12-05,CONDUCTOR
606,2020-0066,2020-12-07,CONDUCTOR
607,2020-0067,2020-12-11,PEATON
608,2020-0068,2020-12-12,CONDUCTOR
609,2020-0069,2020-12-15,PASAJERO_ACOMPANANTE
610,2020-0070,2020-12-17,PEATON
611,2020-0071,2020-12-17,PEATON
612,2020-0072,2020-12-19,CICLISTA
613,2020-0073,2020-12-20,CONDUCTOR
614,2020-0074,2020-12-20,CONDUCTOR
615,2020-0075,2020-12-23,PEATON
616,2020-0076,2020-12-24,CONDUCTOR
617,2020-0077,2020-12-25,CONDUCTOR
618,2020-0077,2020-12-25,PASAJERO_ACOMPANANTE
619,2020-0078,2020-12-25,CICLISTA
620,2020-0079,2020-12-27,CONDUCTOR
621,2021-0001,2021-01-06,CONDUCTOR
622,2021-0002,2021-01-07,CONDUCTOR
623,2021-0003,2021-01-10,CONDUCTOR
624,2021-0004,2021-01-11,PEATON
625,2021-0005,2021-01-11,PEATON
626,2021-0006,2021-01-12,PASAJERO_ACOMPANANTE
627,2021-0007,2021-01-18,CONDUCTOR
