ID,ID_HECHO,FECHA,CRUCE,SEMAFORO
506,2019-0089,2019-10-23,"BLANES, JUAN MANUEL",False
507,2019-0090,2019-10-24,,False
508,2019-0091,2019-11-01,CAMARGO,False
509,2019-0092,2019-11-03,SUAREZ,False
510,2019-0093,2019-11-13,"JUSTO, JUAN B. AV.",False
511,2019-0094,2019-11-18,SERRANO,False
512,2019-0095,2019-11-20,,False
513,2019-0096,2019-11-22,PIEDRAS,False
514,2019-0097,2019-11-25,,False
515,2019-0098,2019-11-25,,False
516,2019-0100,2019-12-05,,False
517,2019-0101,2019-12-17,TILCARA AV.,False
518,2019-0102,2019-12-17,"GORDILLO, TIMOTEO",False
519,2019-0103,2019-12-18,GRIVEO,False
520,2019-0104,2019-12-21,PERGAMINO,False
521,2019-0105,2019-05-05,SEGUROLA AV.,False
522,2020-0001,2020-01-04,LOYOLA,False
523,2020-0002,2020-01-05,VARELA AV.,False
524,2020-0003,2020-01-11,COMBATE DE LOS POZOS,False
525,2020-0004,2020-01-14,RIVADAVIA AV.,False
526,2020-0005,2020-01-14,SAN JUAN AV.,False
527,2020-0006,2020-01-20,,False
528,2020-0007,2020-01-27,LIMA,False
529,2020-0008,2020-01-30,"JAURES, JEAN",False
530,2020-0009,2020-02-04,"SALGUERO, JERONIMO",False
531,2020-0010,2020-02-08,SAN JUAN AV.,False
532,2020-0011,2020-02-12,,False
533,2020-0012,2020-02-18,,False
534,2020-0013,2020-02-20,TRIUNVIRATO AV.,False
535,2020-0014,2020-02-27,NOGOYA,False
536,2020-0015,2020-02-28,PASEO COLON AV.,False
537,2020-0016,2020-02-29,,False
538,2020-0017,2020-03-05,RINCON,False
539,2020-0018,2020-03-09,,False
540,2020-0019,2020-03-10,CASTRO,False
541,2020-0020,2020-03-13,"GOMEZ, VALENTIN",False
542,2020-0021,2020-03-14,,False
543,2020-0022,2020-04-07,ESCALADA AV.,False
544,2020-0023,2020-04-09,"BROWN, ALTE. AV.",False
545,2020-0024,2020-04-24,,False
546,2020-0025,2020-05-12,,False
547,2020-0026,2020-05-17,,False
548,2020-0027,2020-05-18,MONTIEL,False
549,2020-0028,2020-05-19,WARNES AV.,True
550,2020-0029,2020-06-10,"ROFFO, ANGEL H., DR.",False
551,2020-0030,2020-06-16,,False
552,2020-0031,2020-06-30,LARRAYA,False
553,2020-0032,2020-07-10,SERRANO,False
554,2020-0033,2020-07-19,DEL LIBERTADOR AV.,False
555,2020-0034,2020-08-02,"ANCHORENA, TOMAS MANUEL DE, DR.",False
556,2020-0035,2020-08-04,,False
557,2020-0036,2020-08-07,PARAGUAY,False
558,2020-0037,2020-08-29,VARELA AV.,False
559,2020-0038,2020-08-30,"DIAZ, CNEL. AV.",False
560,2020-0039,2020-09-01,,False
561,2020-0040,2020-09-12,CALLE 12 (NO OFICIAL),False
562,2020-0041,2020-09-28,"PERON, EVA AV.",True
563,2020-0042,2020-09-29,SOLDADO DE LA FRONTERA AV.,False
564,2020-0043,2020-09-30,PARAGUAY,False
565,2020-0044,2020-10-05,INDEPENDENCIA AV.,False
566,2020-0045,2020-10-19,27 DE FEBRERO AV.,False
567,2020-0046,2020-10-27,"CARRANZA, ADOLFO P.",False
568,2020-0047,2020-10-27,LACARRA AV.,False
569,2020-0048,2020-10-29,,False
570,2020-0049,2020-10-30,"RAMOS MEJIA, JOSE MARIA, DR. AV.",False
571,2020-0050,2020-11-01,GODOY CRUZ,False
572,2020-0051,2020-11-05,MERCEDES,False
573,2020-0052,2020-11-07,PUEYRREDON AV.,False
574,2020-0053,2020-11-09,"EINSTEIN, ALBERTO",False
575,2020-0054,2020-11-19,ALBERTI,False
576,2020-0055,2020-11-19,,False
577,2020-0056,2020-11-21,"ROCA, CNEL. AV.",False
578,2020-0057,2020-11-23,"VIALE, LUIS",False
579,2020-0058,2020-11-24,"FALCON, RAMON L.,CNEL.",False
580,2020-0059,2020-12-01,,False
581,2020-0060,2020-12-03,"PERON, EVA AV.",False
582,2020-0061,2020-12-03,"UDAONDO, GUILLERMO AV.",False
583,2020-0062,2020-12-04,,False
584,2020-0063,2020-12-05,ALTA GRACIA,False
585,2020-0065,2020-12-05,"GOYENECHE, ROBERTO PARQUE AV.",False
586,2020-0066,2020-12-07,,False
587,2020-0067,2020-12-11,BEAZLEY,False
588,2020-0068,2020-12-12,AUSTRIA,False
589,2020-0069,2020-12-15,"SAENZ PE?A, LUIS, PRES.",False
590,2020-0070,2020-12-17,"LAS HERAS, GENERAL",False
591,2020-0071,2020-12-17,DIRECTORIO AV.,False
592,2020-0072,2020-12-19,"CALVO, CARLOS",False
593,2020-0073,2020-12-20,ESCALADA AV.,False
594,2020-0074,2020-12-20,NAZCA AV.,False
595,2020-0075,2020-12-23,9 DE JULIO AV.,False
596,2020-0076,2020-12-24,CHIVILCOY,False
