ID_HECHO,FECHA,ACUSADO,VICTIMA
2018-0141,2018-12-22,MOTO,PEATON
2018-0142,2018-12-25,PASAJEROS,CARGAS
2018-0143,2018-12-29,AUTO,MOTO
2019-0001,2019-01-08,CARGAS,MOTO
2019-0002,2019-01-09,CARGAS,AUTO
2019-0003,2019-01-12,AUTO,MOTO
2019-0004,2019-01-14,PASAJEROS,AUTO
2019-0005,2019-01-19,CARGAS,MOTO
2019-0006,2019-01-23,AUTO,PEATON
2019-0007,2019-01-26,AUTO,MOTO
2019-0008,2019-01-30,MULTIPLE,MOTO
2019-0009,2019-01-31,AUTO,MOTO
2019-0010,2019-02-02,AUTO,PEATON
2019-0010,2019-02-02,AUTO,PEATON
2019-0011,2019-02-10,AUTO,PEATON
2019-0012,2019-02-17,AUTO,MOTO
2019-0013,2019-02-20,AUTO,PEATON
2019-0014,2019-02-20,OBJETO FIJO,MOTO
2019-0015,2019-02-23,OBJETO FIJO,AUTO
2019-0016,2019-02-24,PASAJEROS,MOTO
2019-0017,2019-03-03,PASAJEROS,AUTO
2019-0018,2019-03-03,AUTO,PEATON
2019-0019,2019-03-06,AUTO,MOTO
2019-0020,2019-03-07,AUTO,MOTO
2019-0021,2019-03-15,AUTO,MOTO
2019-0022,2019-03-15,,AUTO
2019-0023,2019-03-16,OBJETO FIJO,AUTO
2019-0024,2019-03-19,CARGAS,MOTO
2019-0025,2019-03-22,AUTO,PEATON
2019-0026,2019-03-28,PASAJEROS,PEATON
2019-0027,2019-03-28,MULTIPLE,BICICLETA
2019-0028,2019-04-06,PASAJEROS,PEATON
2019-0029,2019-04-07,OBJETO FIJO,MOTO
2019-0030,2019-04-09,CARGAS,MOTO
2019-0031,2019-04-12,CARGAS,BICICLETA
2019-0032,2019-04-16,AUTO,PEATON
2019-0033,2019-04-18,,MOTO
2019-0034,2019-04-21,OBJETO FIJO,MOTO
2019-0035,2019-04-23,BICICLETA,PEATON
2019-0036,2019-04-26,AUTO,MOTO
2019-0037,2019-05-01,AUTO,MOTO
2019-0038,2019-05-04,MOTO,PEATON
2019-0039,2019-05-09,AUTO,MOTO
2019-0040,2019-05-09,,MOTO
2019-0041,2019-05-11,MULTIPLE,AUTO
2019-0042,2019-05-14,PASAJEROS,PEATON
2019-0043,2019-05-21,CARGAS,BICICLETA
2019-0044,2019-05-27,MOTO,PEATON
2019-0045,2019-06-03,CARGAS,MOTO
2019-0046,2019-06-04,AUTO,MOTO
2019-0047,2019-06-06,CARGAS,PEATON
2019-0048,2019-06-07,CARGAS,MOTO
2019-0049,2019-06-08,CARGAS,PEATON
2019-0050,2019-06-08,CARGAS,MOTO
2019-0051,2019-06-11,AUTO,MOTO
2019-0053,2019-06-14,AUTO,AUTO
2019-0054,2019-06-20,OBJETO FIJO,MOTO
2019-0055,2019-06-20,PASAJEROS,MOTO
2019-0056,2019-06-29,AUTO,PEATON
2019-0057,2019-07-05,AUTO,PEATON
2019-0058,2019-07-10,PASAJEROS,MOTO
2019-0059,2019-07-13,PASAJEROS,MOTO
2019-0060,2019-07-17,AUTO,PEATON
2019-0061,2019-07-17,PASAJEROS,PEATON
2019-0062,2019-08-01,PASAJEROS,PEATON
2019-0063,2019-08-04,PASAJEROS,MOTO
2019-0064,2019-08-06,AUTO,MOTO
2019-0065,2019-08-08,PASAJEROS,PEATON
2019-0066,2019-08-11,AUTO,PEATON
2019-0067,2019-08-14,CARGAS,MOTO
2019-0068,2019-08-14,MOTO,MOTO
2019-0069,2019-08-17,AUTO,MOTO
2019-0070,2019-08-22,BICICLETA,MOTO
2019-0071,2019-08-27,CARGAS,PEATON
2019-0072,2019-08-28,AUTO,AUTO
2019-0073,2019-08-29,OBJETO FIJO,AUTO
2019-0074,2019-08-29,CARGAS,MOTO
2019-0075,2019-08-30,PASAJEROS,MOTO
2019-0076,2019-09-05,CARGAS,MOTO
2019-0077,2019-09-08,AUTO,PEATON
2019-0078,2019-09-12,CARGAS,PEATON
2019-0079,2019-09-17,PASAJEROS,MOTO
2019-0080,2019-09-17,MOTO,PEATON
2019-0081,2019-09-23,PASAJEROS,PEATON
2019-0082,2019-09-25,CARGAS,BICICLETA
2019-0083,2019-09-26,AUTO,AUTO
2019-0084,2019-09-27,CARGAS,BICICLETA
2019-0085,2019-10-09,TREN,BICICLETA
2019-0086,2019-10-15,PASAJEROS,MOTO
2019-0087,2019-10-21,MOTO,MOTO
2019-0088,2019-10-22,PASAJEROS,PEATON
2019-0089,2019-10-23,CARGAS,PEATON
2019-0090,2019-10-24,MOTO,PEATON
2019-0091,2019-11-01,PASAJEROS,PEATON
2019-0092,2019-11-03,PASAJEROS,PEATON
2019-0093,2019-11-13,OTRO,BICICLETA
2019-0094,2019-11-18,OTRO,MOTO
2019-0095,2019-11-20,CARGAS,MOTO
2019-0096,2019-11-22,PASAJEROS,PEATON
2019-0097,2019-11-25,MULTIPLE,MOTO
2019-0098,2019-11-25,PASAJEROS,PASAJEROS
2019-0100,2019-12-05,AUTO,MOTO
2019-0101,2019-12-17,MOTO,MOTO
2019-0102,2019-12-17,AUTO,MOTO
2019-0103,2019-12-18,MOTO,MOTO
2019-0104,2019-12-21,AUTO,MOTO
2019-0105,2019-05-05,AUTO,PEATON
2020-0001,2020-01-04,AUTO,PEATON
2020-0002,2020-01-05,OBJETO FIJO,MOTO
2020-0003,2020-01-11,AUTO,PEATON
2020-0004,2020-01-14,PASAJEROS,PEATON
2020-0005,2020-01-14,PASAJEROS,MOTO
2020-0006,2020-01-20,CARGAS,MOTO
2020-0007,2020-01-27,MOTO,PEATON
2020-0008,2020-01-30,CARGAS,MOTO
2020-0009,2020-02-04,AUTO,PEATON
2020-0010,2020-02-08,OBJETO FIJO,MOTO
2020-0011,2020-02-12,CARGAS,MOTO
2020-0012,2020-02-18,MOTO,PEATON
2020-0013,2020-02-20,MOTO,PEATON
2020-0014,2020-02-27,PASAJEROS,MOTO
2020-0015,2020-02-28,PASAJEROS,MOTO
2020-0016,2020-02-29,PASAJEROS,PEATON
2020-0017,2020-03-05,AUTO,PEATON
2020-0018,2020-03-09,OBJETO FIJO,MOTO
2020-0019,2020-03-10,AUTO,PEATON
2020-0020,2020-03-13,MOTO,PEATON
2020-0021,2020-03-14,AUTO,PEATON
2020-0022,2020-04-07,CARGAS,AUTO
2020-0023,2020-04-09,CARGAS,AUTO
2020-0024,2020-04-24,AUTO,AUTO
2020-0025,2020-05-12,AUTO,PEATON
2020-0026,2020-05-17,OBJETO FIJO,MOTO
2020-0027,2020-05-18,CARGAS,PEATON
2020-0028,2020-05-19,PASAJEROS,PEATON
2020-0029,2020-06-10,PASAJEROS,PEATON
