ID,ID_HECHO,FECHA,ACUSADO
612,2021-0013,2021-01-31,OBJETO FIJO
613,2021-0014,2021-02-02,AUTO
614,2021-0015,2021-02-06,OBJETO FIJO
615,2021-0016,2021-02-14,OBJETO FIJO
616,2021-0017,2021-02-17,PASAJEROS
617,2021-0018,2021-02-20,AUTO
618,2021-0019,2021-02-21,OBJETO FIJO
619,2021-0020,2021-02-21,CARGAS
620,2021-0021,2021-02-26,OBJETO FIJO
621,2021-0022,2021-02-28,
622,2021-0023,2021-03-01,CARGAS
623,2021-0024,2021-03-03,CARGAS
624,2021-0025,2021-03-11,OTRO
625,2021-0026,2021-03-15,OBJETO FIJO
626,2021-0027,2021-03-16,CARGAS
627,2021-0028,2021-03-29,PASAJEROS
628,2021-0029,2021-03-31,AUTO
629,2021-0030,2021-04-03,PASAJEROS
630,2021-0031,2021-04-07,CARGAS
631,2021-0032,2021-04-10,MOTO
632,2021-0033,2021-04-14,OBJETO FIJO
633,2021-0034,2021-04-19,CARGAS
634,2021-0035,2021-05-03,CARGAS
635,2021-0036,2021-05-09,OBJETO FIJO
636,2021-0037,2021-05-11,PASAJEROS
637,2021-0038,2021-05-14,CARGAS
638,2021-0039,2021-05-15,AUTO
639,2021-0040,2021-05-20,AUTO
640,2021-0041,2021-05-20,PASAJEROS
641,2021-0042,2021-05-21,PASAJEROS
642,2021-0043,2021-05-22,AUTO
643,2021-0044,2021-05-25,OBJETO FIJO
644,2021-0045,2021-05-26,MULTIPLE
645,2021-0046,2021-05-31,OBJETO FIJO
